,noun,adjectives,verbs,adverbs,miscellaneous,prepositions
79,Cloud,careful,fall,kindly,Authentic,between
80,Dolphin,delicate,grow,lazily,Authority,beyond
81,Engine,enthusiastic,hold,lightly,Autonomous,but
82,Fire,fabulous,inquire,likely,Avarice,by
83,Grass,graceful,jump,loudly,Avid,by means of
84,Horse,horrible,kneel,loyally,Awkward,concerning
85,Ink,impressive,leave,madly,Banish,despite
86,Jet,jovial,measure,merrily,Barrage,down
87,Kangaroo,kind,notice,mildly,Bastion,due to
88,Lake,lovely,overcome,miserably,Belabor,during
89,Mirror,messy,pick,mockingly,Benevolent,except
90,Night,nervous,rest,monthly,Benign,except for
91,Octopus,obedient,stay,mortally,Bequeath,excepting
92,Parrot,perfect,tell,mostly,Bizarre,for
93,Queen,quick,upgrade,mysteriously,Blatant,from
94,River,rare,view,narrowly,Blissful,in
95,Snow,scary,write,naturally,Boisterous,in addition to
96,Tower,terrific,x-ray,nearly,Bolster,in case of
97,Actor,unusual,yodel,neatly,Bounty,in front of
98,Bird,vivid,zip,nervously,Brash,in lieu of
99,Candle,wonderful,assist,nightly,Breach,in spite of
100,Desk,yummy,borrow,noisily,Brisk,inside
101,Egg,zonal,climb,obediently,Broach,instead of
102,Frog,athletic,dream,obviously,Buoyant,into
103,Guitar,big,escape,occasionally,Burgeon,like
104,Hill,cold,fly,oddly,Burlesque,near
105,Island,drab,gather,officially,Cacophony,next to
106,Jelly,expensive,heat,openly,Cadence,notwithstanding
107,Kangaroo,foolish,identify,painfully,Callous,of
108,Ladder,giant,join,particularly,Candor,off
109,Mirror,harsh,knock,patiently,Capacious,on
110,Net,important,lead,perfectly,Capricious,on account of
111,Oven,juicy,melt,politely,Catalyst,on behalf of
112,Pillow,kindhearted,observe,poorly,Catastrophe,on top of
113,Quicksand,large,pull,powerfully,Caustic,onto
114,Road,mature,remember,promptly,Celestial,out
115,Stool,nice,sit,properly,Chagrin,out of
116,Tiger,outgoing,talk,punctually,Charmed,outside
117,Unicorn,polished,undergo,quickly,Chaotic,over
118,Vulture,quick,volunteer,quietly,Chivalry,past
119,Wave,rough,watch,rapidly,Chronicle,prior to
120,Xenon,short,yawn,rarely,Clarity,regarding
121,Yogurt,tall,zoom,readily,Clutch,round
122,Zeppelin,unique,act,really,Coalesce,since
123,Album,vibrant,burn,reassuringly,Coerce,through
124,Brush,wide,create,recklessly,Cogent,throughout
125,Cave,xanthic,draw,regularly,Cohesive,to
126,Dancer,young,exit,reluctantly,Collaborate,toward
127,Elephant,zippy,focus,repeatedly,Commemorate,under
128,Forest,arrogant,guide,rightfully,Commence,underneath
129,Garage,bitter,imagine,rudely,Commingle,unlike
130,Hat,clumsy,jump,sadly,Complacent,until
131,Iceberg,dark,knead,safely,Complicit,up
132,Jewel,efficient,laugh,scarcely,Concede,upon
133,Knot,faint,move,secretly,Concur,versus
134,Leopard,gentle,navigate,selfishly,Condone,via
135,Monitor,hard,pack,sensibly,Conducive,with
136,Newspaper,impatient,reach,seriously,Conflate,within
137,Octopus,jumpy,start,shakily,Conjecture,without
138,Paint,kind,think,sharply,Connoisseur,according to
139,Quill,long,unite,sheepishly,Conquer,ahead of
140,Rock,moody,vote,shyly,Conscience,apart from
141,Sponge,nifty,work,silently,Conspicuous,as per
142,Tape,obedient,x-ray,simply,Consternation,because of
143,Umbrella,peaceful,yield,sleepily,Contemplate,close to
144,Violet,quick,zip,slowly,Contrive,due to
145,Whisk,remarkable,achieve,smoothly,Convalesce,far from
146,Xylophone,smooth,buy,softly,Convex,in accordance with
147,Yak,tricky,compare,solemnly,Copious,in addition to
148,Zeppelin,unpredictable,drive,speedily,Corporeal,in front of
149,Anchor,vast,enlist,stealthily,Covert,in line with
